Timestep,Consumption,Power
388,2.338883085,9.35553234
389,2.338958631,9.355834525
390,2.324400439,9.297601755
391,2.317121342,9.268485369
392,2.30256315,9.210252599
393,2.295284054,9.181136214
394,2.276614536,9.106458144
395,2.257945018,9.031780073
396,2.24861026,8.994441038
397,2.239275501,8.957102003
398,2.229702778,8.918811113
399,2.220130056,8.880520223
400,2.215343695,8.861374778
401,2.210557333,8.842229333
402,2.221155249,8.884620994
403,2.226454206,8.905816825
404,2.237052121,8.948208486
405,2.242351079,8.969404316
406,2.323576475,9.294305902
407,2.364160118,9.456640472
408,2.445327403,9.781309611
409,5.485911045,21.94364418
410,5.647669093,22.59067637
411,5.728548117,22.91419247
412,5.890306166,23.56122466
413,5.97118519,23.88474076
414,5.601816179,22.40726472
415,5.674175066,22.69670026
416,5.81889284,23.27557136
417,5.891251726,23.5650069
418,5.998392393,23.99356957
419,6.105533059,24.42213224
420,6.159103392,24.63641357
421,6.255620473,25.02248189
422,6.249499974,24.9979999
423,6.237258977,24.94903591
424,6.231138479,24.92455392
425,6.19106872,24.76427488
426,6.118579825,24.4743193
427,6.082335377,24.32934151
428,6.009846482,24.03938593
429,5.991995998,23.96798399
430,5.95629503,23.82518012
431,5.938444546,23.75377818
432,5.902743578,23.61097431
433,5.875164528,23.50065811
434,5.820006429,23.28002571
435,5.792427379,23.16970952
436,5.747611423,22.99044569
437,5.328898078,21.31559231
438,5.255377656,21.02151062
439,5.108336813,20.43334725
440,5.062386549,20.2495462
441,4.989095426,19.9563817
442,4.915804302,19.66321721
443,4.87915874,19.51663496
444,4.842513179,19.37005271
445,4.841707458,19.36682983
446,4.840901737,19.36360695
447,4.840498877,19.36199551
448,4.840096017,19.36038407
449,4.878285761,19.51314304
450,5.411467417,21.64586967
451,5.449657161,21.79862864
452,5.468752033,21.87500813
453,5.515332421,22.06132968
454,5.538622615,22.15449046
455,5.585203003,22.34081201
456,5.608493198,22.43397279
457,5.623730602,22.49492241
458,5.631349304,22.52539722
459,5.646586709,22.58634684
460,5.654205411,22.61682164
461,5.592069824,22.3682793
462,5.561031087,22.24412435
463,5.498953611,21.99581444
464,5.467914874,21.87165949
465,5.386349406,21.54539762
466,5.345566672,21.38226669
467,5.264001205,21.05600482
468,5.223218471,20.89287389
469,2.235042767,8.940171068
470,2.240954915,8.96381966
471,2.252779211,9.011116843
472,2.258691358,9.034765434
473,2.270515654,9.082062617
474,2.276427802,9.105711208
475,2.288252098,9.153008391
476,2.294164246,9.176656982
477,2.305988541,9.223954165
478,2.311900689,9.247602757
479,2.323724985,9.29489994
480,2.329637133,9.318548531
481,2.479399613,9.917598451
482,2.457571182,9.830284726
483,2.430285642,9.72114257
484,2.40736579,9.629463158
485,2.493340919,9.973363677
486,2.492771932,9.971087729
487,2.500429356,10.00171743
488,2.400884505,9.603538019
489,2.34858587,9.39434348
490,2.346061653,9.38424661
491,2.343176833,9.372707331
492,2.340772816,9.363091265
493,2.500483532,10.00193413
494,2.500491897,10.00196759
495,2.500501457,10.00200583
496,2.489507187,9.958028748
497,2.489493948,9.957975792
498,2.47840848,9.913633922
499,2.489443476,9.957773903
500,2.378038312,9.51215325
501,2.334194058,9.336776231
502,2.334926743,9.339706971
503,2.335842599,9.343370398
504,2.445791461,9.783165844
505,5.500590687,22.00236275
506,5.500598654,22.00239462
507,5.500608613,22.00243445
508,5.50061658,22.00246632
509,5.500626539,22.00250615
510,4.986547722,19.94619089
511,4.986557681,19.94623072
512,4.986565647,19.94626259
513,4.706948758,18.82779503
514,4.719867026,18.87946811
515,4.689875859,18.75950344
516,4.704014901,18.81605961
517,4.672802961,18.69121185
518,4.688162776,18.75265111
519,4.986629782,19.94651913
520,4.986638147,19.94655259
521,4.986647707,19.94659083
522,4.961130717,19.84452287
523,4.986665633,19.94666253
524,4.986673998,19.94669599
525,4.986683558,19.94673423
526,4.9615496,19.8461984
527,4.986701484,19.94680594
528,4.986709849,19.9468394
529,4.98671941,19.94687764
530,4.958712686,19.83485075
531,4.986737335,19.94694934
532,4.986745701,19.9469828
533,4.986755261,19.94702104
534,4.965606476,19.8624259
535,4.986773187,19.94709275
536,4.986781552,19.94712621
537,4.986791112,19.94716445
538,4.967014646,19.86805858
539,4.986809038,19.94723615
540,4.986817403,19.94726961
541,4.986826964,19.94730785
542,4.986835329,19.94734132
543,4.986844889,19.94737956
544,4.986853255,19.94741302
545,4.986862815,19.94745126
546,5.500957964,22.00383186
547,5.500967524,22.0038701
548,5.483494946,21.93397978
549,5.483472378,21.93388951
550,5.465871286,21.86348514
551,5.483393918,21.93357567
552,5.465696441,21.86278576
553,5.483253323,21.93301329
554,5.465210915,21.86084366
555,5.482988455,21.93195382
556,5.464663254,21.85865301
557,5.483081632,21.93232653
558,5.48335338,21.93341352
559,5.50107468,22.00429872
560,5.501082647,22.00433059
561,5.501092606,22.00437042
562,5.501100573,22.00440229
563,5.501110531,22.00444213
564,5.501118498,22.00447399
565,2.501128457,10.00451383
566,2.501136424,10.0045457
567,2.501146383,10.00458553
568,2.50115435,10.0046174
569,2.501164308,10.00465723
570,2.501172275,10.0046891
571,2.501182234,10.00472894
572,2.501190201,10.0047608
573,2.50120016,10.00480064
574,2.501208127,10.00483251
575,2.501218085,10.00487234
576,2.501226052,10.00490421
577,2.230874107,8.92349643
578,2.264229393,9.056917572
579,2.3059235,9.223694
580,2.34094655,9.363786199
581,2.105219172,8.420876687
582,2.10759584,8.430383362
583,2.087793569,8.351174277
584,2.361028393,9.444113572
585,2.523378653,10.09351461
