Timestep,Consumption,Electric_Power_kw
750,5.952997108,23.81198843
751,5.91702549,23.66810196
752,5.899039681,23.59615872
753,5.863068063,23.45227225
754,5.845082253,23.38032901
755,5.809110635,23.23644254
756,5.791124826,23.1644993
757,2.572620508,10.29048203
758,2.46336835,9.853473398
759,2.244864032,8.979456128
760,2.135611873,8.542447492
761,2.022650044,8.090600175
762,1.966169129,7.864676516
763,1.8532073,7.412829198
764,1.796726385,7.18690554
765,1.78869014,7.154760559
766,1.784672017,7.138688069
767,1.776635772,7.106543089
768,1.77261765,7.090470599
769,1.816830402,7.267321607
770,1.838936778,7.355747112
771,1.88314953,7.53259812
772,1.726416277,6.905665107
773,1.727031631,6.908126525
774,1.727339309,6.909357235
775,1.727954663,6.911818653
776,1.72826234,6.913049362
777,1.713308962,6.853235849
778,2.097396623,8.389586492
779,1.690878895,6.76351558
780,1.683402206,6.733608824
781,1.659501028,6.638004112
782,2.00637372,8.025494881
783,1.623769104,6.495076416
784,1.611858463,6.44743385
785,1.600795477,6.403181907
786,1.595263984,6.381055935
787,1.584200998,6.336803991
788,1.578669505,6.31467802
789,1.598438643,6.393754574
790,1.608323213,6.433292851
791,1.628092351,6.512369405
792,1.637976921,6.551907682
793,4.750065363,19.00026145
794,4.806069637,19.22427855
795,4.918078185,19.67231274
796,4.974082459,19.89632984
797,5.222148341,20.88859336
798,4.870875473,19.48350189
799,5.118941355,20.47576542
800,5.242974296,20.97189718
801,5.450894393,21.80357757
802,5.658814491,22.63525796
803,5.76277454,23.05109816
804,5.866734588,23.46693835
805,5.996505793,23.98602317
806,6.126276998,24.50510799
807,6.1911626,24.7646504
808,6.256048203,25.02419281
809,6.264128514,25.05651406
810,6.272208826,25.0888353
811,6.276248982,25.10499593
812,6.284329293,25.13731717
813,6.288369449,25.1534778
814,6.296449761,25.18579904
815,6.300489916,25.20195967
816,6.308570228,25.23428091
817,6.312610384,25.25044154
818,6.320690695,25.28276278
819,6.324730851,25.2989234
820,6.332811163,25.33124465
821,6.336851319,25.34740527
822,6.340891474,25.3635659
823,6.32218766,25.28875064
824,6.303483846,25.21393538
825,6.294131939,25.17652776
826,6.284780032,25.13912013
827,6.191242597,24.76497039
828,6.097705162,24.39082065
829,6.050936445,24.20374578
830,6.004167727,24.01667091
831,5.965956353,23.86382541
832,5.927744978,23.71097991
833,5.908639291,23.63455716
834,5.889533604,23.55813441
835,6.299501881,25.19800752
836,6.266833115,25.06733246
837,6.201495584,24.80598233
838,6.168826818,24.67530727
839,6.1328552,24.5314208
840,6.114869391,24.45947756
841,6.078897772,24.31559109
842,6.060911963,24.24364785
843,6.024940345,24.09976138
844,6.006954536,24.02781814
845,5.970982917,23.88393167
846,5.952997108,23.81198843
847,5.91702549,23.66810196
848,5.899039681,23.59615872
849,5.863068063,23.45227225
850,5.845082253,23.38032901
851,5.809110635,23.23644254
852,5.791124826,23.1644993
853,2.572620508,10.29048203
854,2.46336835,9.853473398
855,2.244864032,8.979456128
856,2.135611873,8.542447492
857,2.022650044,8.090600175
858,1.966169129,7.864676516
859,1.8532073,7.412829198
860,1.796726385,7.18690554
861,1.78869014,7.154760559
862,1.784672017,7.138688069
863,1.776635772,7.106543089
864,1.77261765,7.090470599
865,1.816830402,7.267321607
866,1.838936778,7.355747112
867,1.88314953,7.53259812
868,1.726416277,6.905665107
869,1.727031631,6.908126525
870,1.727339309,6.909357235
871,1.727954663,6.911818653
872,1.72826234,6.913049362
873,1.713308962,6.853235849
874,2.097396623,8.389586492
875,1.690878895,6.76351558
876,1.683402206,6.733608824
877,1.659501028,6.638004112
878,2.00637372,8.025494881
879,1.623769104,6.495076416
880,1.611858463,6.44743385
881,1.600795477,6.403181907
882,1.595263984,6.381055935
883,1.584200998,6.336803991
884,1.578669505,6.31467802
885,1.598438643,6.393754574
886,1.608323213,6.433292851
887,1.628092351,6.512369405
888,1.637976921,6.551907682
889,4.750065363,19.00026145
890,4.806069637,19.22427855
891,4.918078185,19.67231274
892,4.974082459,19.89632984
893,5.222148341,20.88859336
894,4.870875473,19.48350189
895,5.118941355,20.47576542
896,5.242974296,20.97189718
897,5.450894393,21.80357757
898,5.658814491,22.63525796
899,5.76277454,23.05109816
900,5.866734588,23.46693835
901,5.996505793,23.98602317
902,6.126276998,24.50510799
903,6.1911626,24.7646504
904,6.256048203,25.02419281
905,6.264128514,25.05651406
906,6.272208826,25.0888353
907,6.276248982,25.10499593
908,6.284329293,25.13731717
909,6.288369449,25.1534778
910,6.296449761,25.18579904
911,6.300489916,25.20195967
912,6.308570228,25.23428091
913,6.312610384,25.25044154
914,6.320690695,25.28276278
915,6.324730851,25.2989234
916,6.332811163,25.33124465
917,6.336851319,25.34740527
918,6.340891474,25.3635659
919,6.32218766,25.28875064
920,6.303483846,25.21393538
921,6.294131939,25.17652776
922,6.284780032,25.13912013
923,6.191242597,24.76497039
924,6.097705162,24.39082065
925,6.050936445,24.20374578
926,6.004167727,24.01667091
927,5.965956353,23.86382541
928,5.927744978,23.71097991
929,5.908639291,23.63455716
930,5.889533604,23.55813441
931,6.299501881,25.19800752
932,6.266833115,25.06733246
933,6.201495584,24.80598233
934,6.168826818,24.67530727
935,6.1328552,24.5314208
936,6.114869391,24.45947756
937,6.078897772,24.31559109
938,6.060911963,24.24364785
939,6.024940345,24.09976138
940,6.006954536,24.02781814
941,5.970982917,23.88393167
942,5.952997108,23.81198843
943,5.91702549,23.66810196
944,5.899039681,23.59615872
945,5.863068063,23.45227225
946,5.845082253,23.38032901
947,5.809110635,23.23644254
948,5.791124826,23.1644993
949,2.572620508,10.29048203
950,2.46336835,9.853473398
951,2.244864032,8.979456128
952,2.135611873,8.542447492
953,2.022650044,8.090600175
954,1.966169129,7.864676516
955,1.8532073,7.412829198
956,1.796726385,7.18690554
957,1.78869014,7.154760559
958,1.784672017,7.138688069
959,1.776635772,7.106543089
960,1.77261765,7.090470599
961,1.816830402,7.267321607
962,1.838936778,7.355747112
963,1.88314953,7.53259812
964,1.726416277,6.905665107
965,1.727031631,6.908126525
966,1.727339309,6.909357235
967,1.727954663,6.911818653
968,1.72826234,6.913049362
969,1.713308962,6.853235849
970,2.097396623,8.389586492
971,1.690878895,6.76351558
972,1.683402206,6.733608824
973,1.659501028,6.638004112
974,2.00637372,8.025494881
975,1.623769104,6.495076416
976,1.611858463,6.44743385
977,1.600795477,6.403181907
978,1.595263984,6.381055935
979,1.584200998,6.336803991
980,1.578669505,6.31467802
981,1.598438643,6.393754574
982,1.608323213,6.433292851
983,1.628092351,6.512369405
984,1.637976921,6.551907682
985,4.750065363,19.00026145
986,4.806069637,19.22427855
987,4.918078185,19.67231274
988,4.974082459,19.89632984
989,5.222148341,20.88859336
990,4.870875473,19.48350189
991,5.118941355,20.47576542
992,5.242974296,20.97189718
993,5.450894393,21.80357757
994,5.658814491,22.63525796
